,text
0,"<s>[INST]Một người bán hàng bỏ ra 80,000 đồng tiền vốn và bị lỗ 6%. Để tính số tiền lỗ ta phải tính, các đáp án
80,000 / 6
80,000 ${\times}$ 6
80,000 / (6 ${\times}$ 100)
(80,000 ${\times}$ 6) / 100[/INST]</s>
Lời giải:Theo đề bài, số tiền lỗ bằng 6% của 80000 đồng . Để tìm số tiền lỗ ta có thể lấy 80000 chia cho 100 rồi nhân với 6 (tức là $\frac{80000}{100}$ ${\times}$ 6) hoặc lấy 80000 nhân với 6 rồi chia cho 100 (tức là 80000 ${\times}$ $\frac{6}{100}$).
Chọn đáp án:(80,000 ${\times}$ 6) / 100"
1,"<s>[INST]8 dm224 cm2 = ……… dm2. Số thích hợp điền vào chỗ chấm là:, các đáp án
824
82,4
8,24
0,824[/INST]</s>
Lời giải:Đây là đổi đơn vị từ nhỏ sang lớn. Ta có 24 cm2 = 0,24 dm2
 Vậy 8 dm224 cm2 = 8,24 dm2.
Chọn đáp án:8,24"
2,"<s>[INST]10% của 11,5m2 là:, các đáp án
10,15dm2
1,5m2
15,5m2
1,15m2[/INST]</s>
Lời giải:10% của 11,5m2 là: 11,5 ${\times}$ $\frac{10}{100}$ = 1,15 (m2).
Chọn đáp án:1,15m2"
3,"<s>[INST]Một tam giác có đáy bằng 15 cm và gấp 2,5 lần chiều cao tương ứng. Diện tích tam giác đó là:, các đáp án
90 cm2
37,5 cm2
45 cm2
18,75 cm2[/INST]</s>
Lời giải:Chiều cao của tam giác đó là: $\frac{15}{2}$,5 = 6 (cm)
 Diện tích tam giác đó là: 15 ${\times}$ $\frac{6}{2}$ = 45 (cm2) 
 Đáp số: 45 cm2
Chọn đáp án:45 cm2"
4,"<s>[INST]Một tấm thiệp hình chữ nhật có chiều rộng bằng 9 cm, chiều dài gấp 2 lần chiều rộng. Vậy điện tích của tấm thiệp đó là:, các đáp án
162 cm2
81 cm2
99 cm2
63 cm2[/INST]</s>
Lời giải:Chiều dài hình chữ nhật là: 9 ${\times}$ 2 = 18 (cm)
 Diện tích của tấm thiệp đó là:18 ${\times}$ 9 = 162 (cm2)
 Đáp số: 162 cm2
Chọn đáp án:162 cm2"
5,"<s>[INST]10% của 5dm là:, các đáp án
0,5 m
5 dm
5 cm
50 cm[/INST]</s>
Lời giải:Ta lấy 10% ${\times}$ 5 = 0.5 (dm)
 Đổi đơn vị từ dm sang cm bằng cách: 0.5 ${\times}$ 10 = 5 (cm) Đáp số: 5 cm
Chọn đáp án:5 cm"
6,"<s>[INST]Một vườn có 500 cây ăn quả, trong đó có 300 cây xoài và 200 cây nhãn. Vậy tỉ số giữa cây xoài và cây nhãn trong vườn là:, các đáp án
3/2
2/3
1/2
1/4[/INST]</s>
Lời giải:Tỉ số giữa cây xoài và cây nhãn trong vườn là: $\frac{300}{200}=\frac{3}{2}$
Chọn đáp án:$\frac{3}{2}$"
7,"<s>[INST]10% của 8 dm là, các đáp án
10 cm
70 cm
8 cm
0,8 cm[/INST]</s>
Lời giải:Ta lấy 0,1 ${\times}$ 8 = 0,8 (dm)
 Đổi đơn vị từ dm sang cm bằng cách: 0,8 ${\times}$ 10 = 8 (cm) Đáp số: 8 cm
Chọn đáp án:8 cm"
8,"<s>[INST]Một xe máy đi quãng đường dài 90km mất 2 giờ 15 phút. Vận tốc của xe máy là:, các đáp án
40 km/giờ
202,5 km/giờ
30 km/giờ
36 km/giờ[/INST]</s>
Lời giải:Đổi 2 giờ 15 phút = 2,25 giờ
 Vận tốc của xe máy là: $\frac{90}{2}$,25 = 40 (km/giờ)
Chọn đáp án:40 km/giờ"
9,"<s>[INST]Một xưởng may đã dùng hết 350 m vải để may quần áo, trong đó số vải may quần chiếm 60%. Vậy số vải may áo là:, các đáp án
210 m
140 m
150 m
180 m[/INST]</s>
Lời giải:Số vải may quần là:350 ${\times}$ $\frac{60}{100}$ = 210 (m vải) 
 Số vải may áo là:350 – 210 = 140 (m vải)
Chọn đáp án:140 m"
